rx,assy,ID,enrich,burnup,kCalc,kMeas,dk
Calvert Cliffs,BT03,NBD107-GG,2.453,37.27,0.8027,0.8178,-0.015
Calvert Cliffs,BT03,NBD107-MM,2.453,31.4,0.8495,0.8661,-0.0166
Calvert Cliffs,BT03,NBD107-Q,2.453,46.46,0.7574,0.7629,-0.0056
Calvert Cliffs,D047,MKP109-CC,3.038,37.12,0.9207,0.9174,0.0033
Calvert Cliffs,D047,MKP109-LL,3.038,27.35,1.0047,1.0037,0.001
Calvert Cliffs,D047,MKP109-P,3.038,44.34,0.8782,0.8647,0.0135
Calvert Cliffs,D101,MLA098-BB,2.72,26.62,0.9719,0.97,0.0019
Calvert Cliffs,D101,MLA098-JJ,2.72,18.68,1.0477,1.0469,0.0008
Calvert Cliffs,D101,MLA098-P,2.72,33.17,0.9227,0.9033,0.0195
H.B. Robinson,B05,N9BN,2.561,23.81,0.9632,0.9638,-0.0006
H.B. Robinson,B05,N9BS,2.561,16.02,1.0465,1.047,-0.0005
H.B. Robinson,B05,N9CD,2.561,31.66,0.9053,0.8994,0.0059
H.B. Robinson,B05,N9CJ,2.561,28.47,0.9333,0.9569,-0.0236
Obrigheim,BE124,E3P1,3,20.18,1.0612,1.0608,0.0004
Obrigheim,BE124,E3P2,3,29.35,0.9782,0.9809,-0.0027
Obrigheim,BE124,E3P3,3,36.26,0.9341,0.9276,0.0065
Obrigheim,BE124,E3P4,3,30.92,0.9794,0.9736,0.0058
Obrigheim,BE124,E3P5,3,22.86,1.0451,1.0518,-0.0067
Obrigheim,BE124,G7P1,3,17.13,1.1005,1.105,-0.0045
Obrigheim,BE124,G7P2,3,25.83,1.0233,1.0291,-0.0058
Obrigheim,BE124,G7P3,3,31.32,0.9872,0.9724,0.0148
Obrigheim,BE124,G7P4,3,27.71,1.0193,1.0251,-0.0058
Obrigheim,BE124,G7P5,3,25.81,1.0341,1.0294,0.0047
Obrigheim,BE168,-,3.13,29.35,1.0032,1.0124,-0.0092
Obrigheim,BE170,-,3.13,27.01,1.0231,1.0301,-0.007
Obrigheim,BE171,-,3.13,28.74,1.0087,1.0164,-0.0077
Obrigheim,BE172,-,3.13,27.89,1.0147,1.016,-0.0013
Obrigheim,BE176,-,3.13,28.78,1.0076,1.014,-0.0064
Takahama,NT3G23,SF95-2,4.11,24.46,1.1705,1.1596,0.0109
Takahama,NT3G23,SF95-3,4.11,35.68,1.0987,1.0853,0.0134
Takahama,NT3G23,SF95-4,4.11,37.01,1.0824,1.0682,0.0142
Takahama,NT3G23,SF95-5,4.11,30.45,1.1197,1.1087,0.011
Takahama,NT3G23,SF96-2,2.63,17.43,1.1259,1.1205,0.0054
Takahama,NT3G23,SF96-3,2.63,29.69,1.0301,1.0391,-0.009
Takahama,NT3G23,SF96-4,2.63,30.41,1.0147,1.0239,-0.0092
Takahama,NT3G23,SF96-5,2.63,25.42,1.0478,1.0515,-0.0037
Takahama,NT3G24,SF97-2,4.11,30.48,1.1161,1.1105,0.0056
Takahama,NT3G24,SF97-3,4.11,42.1,1.0369,1.0301,0.0068
Takahama,NT3G24,SF97-4,4.11,47.07,0.9948,0.9876,0.0072
Takahama,NT3G24,SF97-5,4.11,47.26,0.9839,0.9825,0.0014
Takahama,NT3G24,SF97-6,4.11,40.85,1.028,1.017,0.011
TMI-1,NJ05YU,A1B,4.013,44.8,0.9878,0.9676,0.0202
TMI-1,NJ05YU,A2,4.013,50.6,0.9577,0.9294,0.0283
TMI-1,NJ05YU,B1B,4.013,54.5,0.9353,0.9199,0.0154
TMI-1,NJ05YU,B2,4.013,50.1,0.9644,0.9295,0.0349
TMI-1,NJ05YU,B3J,4.013,53,0.9375,0.9149,0.0226
TMI-1,NJ05YU,C1,4.013,50.2,0.9729,0.943,0.0299
TMI-1,NJ05YU,C2B,4.013,52.6,0.9497,0.916,0.0337
TMI-1,NJ05YU,C3,4.013,51.3,0.9599,0.9432,0.0167
TMI-1,NJ05YU,D1A2,4.013,55.7,0.9363,0.9446,-0.0083
TMI-1,NJ05YU,D1A4,4.013,50.5,0.9695,0.9551,0.0144
TMI-1,NJ05YU,D2,4.013,44.8,1.0109,0.9639,0.047
TMI-1,NJ070G,O12S4,4.657,23.54,1.1975,1.1906,0.0069
TMI-1,NJ070G,O12S5,4.657,26.26,1.1824,1.1752,0.0072
TMI-1,NJ070G,O12S6,4.657,24.09,1.1997,1.1996,0.0001
TMI-1,NJ070G,O13S7,4.657,23.21,1.1998,1.193,0.0068
TMI-1,NJ070G,O13S8,4.657,26.1,1.1837,1.1748,0.0089
TMI-1,NJ070G,O1S1,4.657,25.53,1.1817,1.1729,0.0088
TMI-1,NJ070G,O1S2,4.657,29.92,1.1554,1.1359,0.0195
TMI-1,NJ070G,O1S3,4.657,26.84,1.1798,1.1725,0.0073
Trino Vercellese,32,E11P1,3.13,7.24,1.224,1.2204,0.0036
Trino Vercellese,32,E11P4,3.13,15.38,1.1616,1.1581,0.0035
Trino Vercellese,32,E11P7,3.13,15.9,1.156,1.1492,0.0068
Trino Vercellese,32,E11P9,3.13,11.53,1.1875,1.1871,0.0004
Trino Vercellese,32,H9P4,3.13,16.56,1.1468,1.1478,-0.001
Trino Vercellese,32,H9P7,3.13,17.45,1.1393,1.142,-0.0027
Trino Vercellese,32,H9P9,3.13,12.37,1.1766,1.1744,0.0022
Trino Vercellese,49,J8P1,2.719,8.71,1.1696,1.1654,0.0042
Trino Vercellese,49,J8P4,2.719,14.77,1.1205,1.1094,0.0111
Trino Vercellese,49,J8P7,2.719,15.49,1.1147,1.1115,0.0032
Trino Vercellese,49,J8P9,2.719,11.13,1.1465,1.1427,0.0038
Trino Vercellese,49,L5P1,2.719,14.16,1.1799,1.1826,-0.0027
Trino Vercellese,49,L5P4,2.719,14.49,1.1307,1.1306,0.0001
Trino Vercellese,49,L5P9,2.719,10.18,1.1588,1.1559,0.0029
Trino Vercellese,104,M11P7,3.897,12.04,1.2452,1.2452,0
Trino Vercellese,69,E11P1,3.13,12.86,1.1816,1.1785,0.0031
Trino Vercellese,69,E11P2,3.13,20.6,1.1295,1.1215,0.008
Trino Vercellese,69,E11P4,3.13,23.72,1.1087,1.0938,0.0149
Trino Vercellese,69,E11P5,3.13,24.52,1.1024,1.0914,0.011
Trino Vercellese,69,E11P7,3.13,24.3,1.1014,1.0947,0.0067
Trino Vercellese,69,E11P8,3.13,23.41,1.1062,1.0979,0.0083
Trino Vercellese,69,E11P9,3.13,19.25,1.1325,1.1298,0.0027
Trino Vercellese,69,E5P4,3.13,23.87,1.1074,1.1004,0.007
Trino Vercellese,69,E5P7,3.13,24.68,1.0997,1.0914,0.0083
Trino Vercellese,69,E5P9,3.13,19.21,1.1325,1.1249,0.0076
Trino Vercellese,69,J9P4,3.13,24.85,1.0948,1.0845,0.0103
Trino Vercellese,69,J9P7,3.13,25.26,1.0884,1.0805,0.0079
Trino Vercellese,69,L11P4,3.13,23.93,1.1069,1.1011,0.0058
Trino Vercellese,69,L11P7,3.13,24.36,1.1008,1.0926,0.0082
Trino Vercellese,69,L5P4,3.13,24.33,1.1045,1.1031,0.0014
Trino Vercellese,69,L5P7,3.13,24.31,1.1008,1.1008,0
Turkey Point,D01,G10,2.556,30.51,0.9309,0.9283,0.0026
Turkey Point,D01,G9,2.556,30.72,0.9294,0.9321,-0.0027
Turkey Point,D01,H9,2.556,31.56,0.9215,0.9303,-0.0089
Turkey Point,D04,G10,2.556,31.31,0.9247,0.9254,-0.0007
Turkey Point,D04,G9,2.556,31.26,0.9254,0.9304,-0.005
GKN-II,419,M11,3.8,54,0.9244,0.9076,0.0168
Gösgen,1240,GU1,3.5,60.7,0.8269,0.8098,0.0171
Gösgen,1701,GU3,4.1,53.2,0.9385,0.9533,-0.0148
Gösgen,1701,GU4,4.1,31.1,1.0894,1.0813,0.0081
